"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"Ms4a7",7.90228375364864,8.03792231486973,8.33079001784744,7.83616454410175,7.71113589346834,7.94555585082697,10.0271066089721,10.0823608875245,9.72527709419049,8.17541483377529,8.08031133777237,7.71053342487902
"Acp5",9.24272956861937,9.3676475420685,9.20724106683755,8.9212608279154,8.64402658680386,8.01692908439734,10.5621517951315,10.6616786673106,10.4160096194788,9.09867235876792,9.04446361021464,8.4049997314263
"Gla",6.61741833820655,6.77996156688305,6.88222977572492,6.00778768813905,5.76323357467892,5.80581545259268,8.24357338612156,8.30668778271511,8.01323179172341,6.27874582856376,6.51460872994031,6.13769877385045
"Aif1",8.42146671090399,8.79558128194622,8.65053129476776,8.09462242306259,7.69128617844576,7.86393718262287,10.3066142990507,10.1894255690457,10.3926412090237,8.13646676727778,8.30807163938284,7.61468259671898
"Steap4",8.49120523127554,8.35815188067152,8.53732530652546,8.28275811293949,7.72979568874409,7.51505391091202,9.75706586361801,9.56337514725635,9.54420150569952,8.31206810616647,8.44083234114487,7.97153468408576
"Arg1",6.66161715997495,7.87516668612903,6.54813075032144,6.76874435231288,6.35535128484794,6.47360246094971,9.55426355981848,10.6279943610064,9.32943865279833,6.1607339952911,6.31204302037976,6.28102884457352
"Atf3",8.39706395616694,8.69870257050682,8.72306716585214,7.96107441371199,8.13562153594516,7.89201667259299,9.45098199168165,9.89191787299119,9.54143711614074,8.23635717697762,8.22560675183298,8.36795121390162
"Bst1",8.3729219049188,8.29882950332929,8.15224056302692,7.76788674569906,7.86553571039113,8.10542552212523,9.3700647096257,9.64841454643151,9.38610682625356,8.18309897766826,8.20371945112597,7.76269894420794
"C1qa",10.254525598046,10.4659868389359,9.99385428305633,9.95204039025245,9.59549505978573,9.02087119171827,11.2112858140607,11.2752409920874,11.5223028932168,10.3292734924124,10.0544693370419,9.53957833869103
"C1qb",7.42279556816221,6.10368601654641,7.79020384842056,6.78798989338591,5.93461245872675,5.51256137068027,8.90550794200615,8.77150822501278,8.71399316478137,7.65140509605766,7.30837732984154,6.409299721385
"C1qc",9.8012512438768,10.0767221130004,9.58608295989808,9.47160134793546,8.95888028403147,8.55022623835125,11.1354042442755,11.117254036498,10.8656193435156,9.89014521840769,9.90504870025832,9.21682700228814
"C3ar1",8.27064689476904,8.71113314046812,8.27179701555829,8.32514793963524,8.1411606095023,8.25586336633503,10.5962784237174,10.6351264076663,10.4347746010735,8.32680314042892,8.11935149960252,8.14687874824908
"Noct",7.77859557525505,7.58910095341388,8.03723530269099,7.90593599712598,6.89463505327746,7.47096217520541,9.2420369003068,9.35774416725214,8.37236169655276,7.43074459035446,7.68152082817053,7.87108067448797
"Cd14",10.2299136710148,10.2975870245952,9.84342787674717,9.97169857606266,9.68880435021451,9.39150999095306,11.7478873706693,12.1680503325883,11.1890409312444,9.89285972459646,10.075176821358,9.89752378895759
"Cd86",7.36454018674991,7.41586490305482,7.83871201086346,7.31226013905892,6.89512975417391,7.1143806236815,8.93306893729279,8.92275062853185,8.10940043477416,7.33444754164335,7.36262965049584,6.80558195868237
"Ch25h",8.85947955558414,9.32237416017254,9.32948995110809,7.81485522492255,7.43128100957106,7.77038027138328,10.6963815109929,10.8572797454455,10.0241071801661,8.13425689270793,8.25406140739997,8.02245902235371
"Socs3",9.38292680611897,9.95327409954265,9.30669880296283,8.78069451094341,8.25556377196534,8.08581079206165,11.3421142670503,10.7263531370761,10.1788324322976,8.56221860573852,9.18730451782799,8.53241682296364
"Socs1",8.77736803315211,9.15074028077838,8.40064707930114,8.31226674113611,8.47711629133865,7.95027837812436,9.89339135754139,10.4491120396034,9.58303196146857,8.41271317340457,8.3640836608056,8.00784970291644
"Ccr1",7.76208041955883,8.01200721359658,7.73475276755143,7.7684830926875,7.13562733817688,7.03281743200716,9.77414888814878,9.7925502481832,8.5590583390789,7.76380741292962,7.58519801008066,6.56381171505937
"Csf2rb",9.36926081377661,9.1596268895698,8.13479147227202,8.56303074990383,7.8392458531139,7.41481675915508,10.2732402785871,10.6474478176686,10.1718963191242,8.58644634331545,9.33021825904698,7.59601716024158
"Csf2rb2",8.82857490020357,8.65114562975585,8.7627034312261,8.15346082530776,7.76816251997384,7.3616279156016,9.73857572018238,10.2226601084567,9.49396220831991,8.20639489009693,8.51708819605749,7.47700064509944
