"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"1449372_at",9.790329420909,10.3473085701177,8.90475485428474,9.31466157336981,10.2231429004345,9.09914181217435,9.55663156416585,9.84961542764872,9.7668395740252,9.18160102266793,9.51946600091726,9.57131974516065
"1434273_at",11.1427306420076,10.9811366588389,11.0344430831003,11.0387705366056,11.1613615961446,10.4422104035399,10.0913267689209,10.2663986503847,10.6097759077098,11.0490808190231,10.9762704671762,10.5253784853468
"1424607_a_at",9.95497634614447,11.2677002624202,10.20748824886,9.72317747849726,11.7241278134281,10.4516205609197,10.5641104656567,10.3671284737488,9.73021382329989,10.1802604976738,9.94909324655762,10.3989494277255
"1429560_at",7.32444244839877,7.30336789981692,6.73759685534716,7.12800136785704,7.69639506165833,7.44711123111585,7.08054812123901,6.97114769510847,6.83997025629228,7.5777104355921,7.71353591167337,7.51801212995874
"1427123_s_at",7.24878355095918,6.79829845753632,7.74553027144379,7.6921407494873,7.30060856605485,7.20442452643209,6.95386551716511,6.83157146969662,7.37580494100697,7.40661014839091,7.4636114026932,7.3434031126758
"1426716_at",9.93392499316196,9.83239994187323,9.94718156401097,9.46979340478428,9.53458923071514,9.43376190480033,10.1323776515198,10.2616656964554,10.0112395263396,9.52968331926743,9.66831621509449,9.40328756335344
"1431541_at",7.04482304267899,7.00548024059226,7.50416903276054,7.26763033415922,6.94791010230085,7.80330430243695,7.02980177500464,6.8292533240748,7.44438720714408,7.26037342915579,6.78821283480475,7.5432576722838
"1417300_at",7.84054383270944,7.58978073520323,8.07534808165295,7.62659221483541,7.03611710351138,7.56565284266601,8.35011213322494,8.78340278530033,8.58753658658391,7.89427490568396,8.75852222670057,7.66950855151718
"1426101_at",5.92783825744007,6.01016285992328,6.56799151785395,6.41663242648283,6.34888112301816,6.68854148148759,6.21358335528677,5.79774662530933,6.32983441265364,6.26139784508679,6.05501473856405,6.47828811652839
"1437885_at",8.48886085070201,7.64044862779384,8.59111855128729,8.92415934392266,8.43800940361789,8.88893571538238,8.06436564928669,7.91237738943283,8.09690175498639,8.95656905047967,8.90028409139993,9.08880867355533
