"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415673_at","Psph","phosphoserine phosphatase","100678",-0.21612151907445,7.16991325586378,-0.860173733512399,0.405392102834716,0.992630117217603,-4.80793415272635
"2","1415676_a_at","Psmb5","proteasome (prosome, macropain) subunit, beta type 5","19173",-0.206927237658789,10.7830482931236,-1.1372979769596,0.276092556323236,0.992630117217603,-4.65226940036572
"3","1415683_at","Nmt1","N-myristoyltransferase 1","18107",-0.232371863785891,10.7017285617428,-1.05178402923712,0.312197653037042,0.992630117217603,-4.70392095422672
"4","1415694_at","Wars","tryptophanyl-tRNA synthetase","22375",-0.167381087398814,10.461282045465,-0.678778798707421,0.509269821620068,0.992630117217603,-4.88991633703807
"5","1415695_at","Psma1","proteasome (prosome, macropain) subunit, alpha type 1","26440",-0.217670392348793,9.5860112543094,-0.803785023150516,0.436079077662786,0.992630117217603,-4.83521974292645
"6","1415698_at","Golm1","golgi membrane protein 1","105348",-0.102369852807648,10.2940297562154,-0.588664409266785,0.566248934259762,0.992630117217603,-4.9241670004152
"7","1415727_at","Naxe","NAD(P)HX epimerase","246703",0.0378297759812583,10.5057066124757,0.157551908489619,0.877248608653932,0.994603195841335,-5.02294161630274
"8","1415753_at","Abhd17a","abhydrolase domain containing 17A","216169",-0.175578421179148,9.88267861242303,-0.759553962515979,0.461173196101753,0.992630117217603,-4.85550182356666
"9","1415756_a_at","Snapin","SNAP-associated protein","20615",-0.102663700838928,10.0516245986989,-0.542595859388499,0.596655629225554,0.992630117217603,-4.93993550297346
"10","1415761_at","Mrpl52","mitochondrial ribosomal protein L52","68836",-0.202918558412332,9.30562562657422,-0.872690062789099,0.398780851446892,0.992630117217603,-4.80166510572915
"11","1415773_at","Ncl","nucleolin","17975",-0.189039968753708,8.75067162862632,-0.37990558619377,0.710194919472218,0.992630117217603,-4.98584507169254
"12","1415784_at","Vps35","VPS35 retromer complex component","65114",-0.230111068301012,8.4896833799189,-0.64322286542925,0.531344699116834,0.992630117217603,-4.90396142854205
"13","1415785_a_at","Cct8","chaperonin containing Tcp1, subunit 8 (theta)","12469",-0.28790381353021,10.0354463281116,-1.41457875899315,0.180867237418773,0.992630117217603,-4.46558475981186
"14","1415794_a_at","Spin1","spindlin 1","20729",-0.20904453927468,9.52348200067815,-1.0394182754946,0.31769578289049,0.992630117217603,-4.71113419188484
