"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415673_at","Psph","phosphoserine phosphatase","100678",0.117786952346574,7.16991325586378,0.468797568113045,0.647035759946703,0.865642573123527,-6.59493115693875
"2","1415676_a_at","Psmb5","proteasome (prosome, macropain) subunit, beta type 5","19173",0.0210047091172054,10.7830482931236,0.115444508204442,0.909870010701579,0.974005880231188,-6.70354251982831
"3","1415683_at","Nmt1","N-myristoyltransferase 1","18107",-0.040319442576191,10.7017285617428,-0.182497764912086,0.858028112675873,0.960668020602197,-6.69295527171732
"4","1415694_at","Wars","tryptophanyl-tRNA synthetase","22375",-0.545676685578741,10.461282045465,-2.21287703931124,0.0455555729721431,0.270501830006437,-4.51235864704056
"5","1415695_at","Psma1","proteasome (prosome, macropain) subunit, alpha type 1","26440",-0.100587220303691,9.5860112543094,-0.371435454900517,0.716340767440107,0.899024270728542,-6.6377614756951
"6","1415698_at","Golm1","golgi membrane protein 1","105348",-0.0386347479539939,10.2940297562154,-0.222164049842317,0.827663807140999,0.953336102531598,-6.68446090146759
"7","1415727_at","Naxe","NAD(P)HX epimerase","246703",0.34486694138139,10.5057066124757,1.43628777544266,0.174719849350438,0.507859046275353,-5.69573508227435
"8","1415753_at","Abhd17a","abhydrolase domain containing 17A","216169",0.0546216513843643,9.88267861242303,0.236293796638191,0.816914130308222,0.948386359587063,-6.68103584366738
"9","1415756_a_at","Snapin","SNAP-associated protein","20615",0.263673237320404,10.0516245986989,1.39355980383053,0.186989401856054,0.523733183431831,-5.75118143326169
"10","1415761_at","Mrpl52","mitochondrial ribosomal protein L52","68836",-0.123472975838641,9.30562562657422,-0.531019143248715,0.60442590983296,0.847112187413245,-6.56254173354488
"11","1415773_at","Ncl","nucleolin","17975",-0.495911593076995,8.75067162862632,-0.996612439741037,0.337275518795057,0.668377599174098,-6.20287962654671
"12","1415784_at","Vps35","VPS35 retromer complex component","65114",-0.310460715605885,8.4896833799189,-0.867821928643641,0.401343573074498,0.723800069597984,-6.3221698040973
"13","1415785_a_at","Cct8","chaperonin containing Tcp1, subunit 8 (theta)","12469",-0.122439603270282,10.0354463281116,-0.601591413194372,0.557868274121389,0.817686591368024,-6.52115299573884
"14","1415794_a_at","Spin1","spindlin 1","20729",0.241713421596316,9.52348200067815,1.20185558881984,0.251013219312145,0.593462219718449,-5.9842759007432
"15","1415801_at","Gja1","gap junction protein, alpha 1","14609",-0.809708994659802,9.18009693696899,-1.59466941314354,0.134976409406243,0.45383372438041,-5.48000919012345
"16","1415802_at","Slc16a1","solute carrier family 16 (monocarboxylic acid transporters), member 1","20501",-0.515236835186778,8.97311436837746,-2.19418557104352,0.0471437593360269,0.274413853626193,-4.5439622268369
